,Unnamed: 0,date,plant_id,tray,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants
104,49,Jun-20-2023,plant49,T01,1029,1344,0.765625,171.781744599342,51,42,356,18,53.2836303710937,32.6610870361328,116.43569946289,0.790108801090489,55
105,50,Jun-20-2023,plant50,T01,624,909.5,0.686091258933479,143.053822755813,33,47,360,17,50.3523292541503,22.1558322906494,154.743759155273,0.897989915648777,55
106,51,Jun-20-2023,plant51,T01,583,808,0.721534653465346,141.154327988624,48,28,355,11,52.0565719604492,17.8880462646484,112.171485900878,0.939106197611623,55
107,52,Jun-20-2023,plant52,T01,1152,1508,0.76392572944297,199.195958137512,54,45,417,20,57.1009674072265,32.7017402648925,121.392639160156,0.819764834829782,55
108,53,Jun-20-2023,plant53,T01,904,1129.5,0.800354138999557,162.124890446662,32,51,359,17,49.7408447265625,26.603078842163,169.093658447265,0.844957359165245,55
109,54,Jun-20-2023,plant54,T01,1124,1381.5,0.813608396670286,180.610171675682,66,37,477,20,71.4905624389648,23.8655605316162,111.49314880371,0.942633959637768,55
110,0,Jun-21-2023,plant0,T01,1233,1698,0.726148409893993,226.651801824569,63,44,457,20,62.2218971252441,34.2368659973144,115.582633972167,0.835007724437315,55
111,1,Jun-21-2023,plant1,T01,1186,1427,0.831114225648213,205.237588286399,63,43,478,20,71.5530090332031,22.9306488037109,117.921974182128,0.947258400589145,55
112,2,Jun-21-2023,plant2,T01,1145,1466,0.781036834924965,224.066015362739,38,56,408,17,55.9530868530273,30.4032936096191,166.061752319335,0.839492575553068,55
113,3,Jun-21-2023,plant3,T01,1065,1572,0.677480916030534,214.509666442871,43,58,358,18,53.4995727539062,37.8829154968261,14.1411533355712,0.70611463899927,55
114,4,Jun-21-2023,plant4,T01,1390,1766.5,0.786866685536371,242.16652059555,49,51,349,19,51.0265312194824,41.4495582580566,50.4210586547851,0.583220542970633,55
115,5,Jun-21-2023,plant5,T01,1085,1507.5,0.719734660033167,182.710676908493,47,55,406,20,59.4075012207031,32.5673370361328,146.158233642578,0.836345673983148,55
